id	category	ask
1	hotelname	刚刚订单的酒店名称忘了帮我查下
2	hotelname	用订单号查酒店
3	hotelname	我现在还不知道我住的酒店名字 
4	hotelname	酒店名称忘了
5	hotelname	预定的酒店的名字没有
6	hotelname	刚刚订单的酒店名称忘了帮我查下
7	hotelname	查询我昨天定的酒店
8	hotelname	查一下我刚才订的酒店
9	hotelname	去年在6月份在广州什么酒店入住了
10	hotelname	我定这个是广西北海，还是四川
11	hotelname	我订的酒店信息忘记了。可以帮我查询下吗
12	hotelname	我订的酒店叫什么
13	hotelname	帮我查下我刚下的订单是哪家酒店
14	hotelname	我昨天预订了一家酒店，忘记了酒店名称是什么
15	hotelname	可以查到我预订的酒店名称吗
16	hotelname	忘了订的哪家酒店怎么办
17	hotelname	昨天订的酒店叫什么
18	hotelname	刚下的单我忘了是哪家酒店了
19	hotelname	在哪看酒店名称
20	hotelname	请帮我查询下我订的酒店订单
21	hotelname	我订的酒店忘记了，麻烦帮我查询下
22	hotelname	我订的是哪家酒店
23	hotelname	酒店叫什么名字
24	hotelname	我预订的酒店名叫什么
25	hotelname	之前预订的酒店名称是什么
26	hotelname	帮我查询下我去年订的酒店名叫什么
27	hotelname	可以查到我订的是哪家酒店吗
28	hotelname	我付款的那个酒店叫什么
29	hotelname	酒店名在哪里看
30	hotelname	我昨天预订的那个酒店啊，能不能查得出来？
31	hotelname	我这边订的酒店订单你能查的到吗
32	hotelname	帮忙查一下这个账户订了哪家酒店
33	hotelname	这个会员账户订了哪家酒店
34	hotelname	帮我看下我在上海订的酒店
35	hotelname	我在网上订的酒店，怎么查看
36	hotelname	我想知道我订的酒店全名
37	hotelname	我刚订的杭州是哪家酒店啊
38	hotelname	我订的是速8酒店吗
39	hotelname	订的是七天酒店吗
40	hotelname	我预付的是哪家酒店
41	hotelname	我付钱的那个订单，酒店叫什么
42	hotelname	我刚预订的是哪家酒店
43	hotelname	我刚提交的订单，酒店名在哪里查询
44	hotelname	我刚提交的订单，酒店名在哪里看
45	hotelname	我去年订的酒店名是什么
46	hotelname	去年我住的是哪家酒店
47	hotelname	帮我看下我之前住的是哪个酒店
48	hotelname	能帮我查到之前住的酒店名称吗？
49	hotelname	想查询下以前预订的酒店名称
50	hotelname	帮我查下以前住的哪家酒店
51	hotelname	订的酒店叫什么
52	hotelname	刚订的是哪家酒店
53	hotelname	我订的酒店全名是什么
54	hotelname	我订的订单，酒店名称给我下
55	hotelname	我刚订的哪家酒店
56	hotelname	刚提交的是7天酒店的订单吗
57	hotelname	酒店名称不记得了
58	hotelname	酒店名称忘了，帮我查下
59	hotelname	我订的酒店名称可以帮忙查下吗
60	hotelname	我前两天住的那家酒店叫啥
61	hotelname	我前两天住的那家酒店叫什么
62	hotelname	我想再订2月14日住的那家酒店，帮我看下叫什么
63	hotelname	我给朋友订的酒店叫什么
64	hotelname	2月14日在北京住的是哪家酒店
65	hotelname	五一在上海住的哪家酒店
66	hotelname	十一在厦门住的是哪家酒店
67	hotelname	2月14日我在上海住的那家酒店叫什么
